,device_contact_id,unit_location_x,unit_location_y,mouse,shank_id,Mouse,coord_SCs_z,coord_SCs_y,coord_SCs_x,coord_CCFs_z,coord_CCFs_y,coord_CCFs_x,brain_region
111,s0e63,32.0,465.0,20,0,M20,4137.877524799694,3889.268268321838,-3150.0,9881.566240855649,4186.13001933287,2550.0,ENTm1
112,s0e64,0.0,480.0,20,0,M20,4139.425658193511,3874.3483727794774,-3150.0,9881.729579893818,4170.240240064033,2550.0,ENTm1
113,s0e65,32.0,480.0,20,0,M20,4139.425658193511,3874.3483727794774,-3150.0,9881.729579893818,4170.240240064033,2550.0,ENTm1
114,s0e66,0.0,495.0,20,0,M20,4140.9737915873275,3859.428477237117,-3150.0,9881.89291893199,4154.3504607951945,2550.0,ENTm1
115,s0e67,32.0,495.0,20,0,M20,4140.9737915873275,3859.428477237117,-3150.0,9881.89291893199,4154.3504607951945,2550.0,ENTm1
116,s0e68,0.0,510.0,20,0,M20,4142.521924981145,3844.5085816947567,-3150.0,9882.056257970158,4138.460681526356,2550.0,ENTm1
117,s0e69,32.0,510.0,20,0,M20,4142.521924981145,3844.5085816947567,-3150.0,9882.056257970158,4138.460681526356,2550.0,ENTm1
118,s0e70,0.0,525.0,20,0,M20,4144.070058374962,3829.588686152396,-3150.0,9882.21959700833,4122.570902257517,2550.0,ENTm1
119,s0e71,32.0,525.0,20,0,M20,4144.070058374962,3829.588686152396,-3150.0,9882.21959700833,4122.570902257517,2550.0,ENTm1
120,s0e72,0.0,540.0,20,0,M20,4145.618191768779,3814.6687906100356,-3150.0,9882.382936046499,4106.681122988679,2550.0,ENTm1
121,s0e73,32.0,540.0,20,0,M20,4145.618191768779,3814.6687906100356,-3150.0,9882.382936046499,4106.681122988679,2550.0,ENTm1
122,s0e74,0.0,555.0,20,0,M20,4147.166325162596,3799.748895067675,-3150.0,9882.546275084671,4090.7913437198417,2550.0,ENTm1
123,s0e75,32.0,555.0,20,0,M20,4147.166325162596,3799.748895067675,-3150.0,9882.546275084671,4090.7913437198417,2550.0,ENTm1
124,s0e76,0.0,570.0,20,0,M20,4148.714458556413,3784.8289995253144,-3150.0,9882.70961412284,4074.9015644510037,2550.0,ENTm1
125,s0e77,32.0,570.0,20,0,M20,4148.714458556413,3784.8289995253144,-3150.0,9882.70961412284,4074.9015644510037,2550.0,ENTm1
126,s0e78,0.0,585.0,20,0,M20,4150.26259195023,3769.909103982954,-3150.0,9882.87295316101,4059.011785182165,2550.0,ENTm1
127,s0e79,32.0,585.0,20,0,M20,4150.26259195023,3769.909103982954,-3150.0,9882.87295316101,4059.011785182165,2550.0,ENTm1
128,s0e80,0.0,600.0,20,0,M20,4151.810725344047,3754.9892084405938,-3150.0,9883.03629219918,4043.1220059133275,2550.0,ENTm1
129,s0e81,32.0,600.0,20,0,M20,4151.810725344047,3754.9892084405938,-3150.0,9883.03629219918,4043.1220059133275,2550.0,ENTm1
130,s0e82,0.0,615.0,20,0,M20,4153.358858737864,3740.069312898233,-3150.0,9883.19963123735,4027.2322266444885,2550.0,ENTm1
131,s0e83,32.0,615.0,20,0,M20,4153.358858737864,3740.069312898233,-3150.0,9883.19963123735,4027.2322266444885,2550.0,ENTm1
132,s0e84,0.0,630.0,20,0,M20,4154.90699213168,3725.1494173558726,-3150.0,9883.36297027552,4011.342447375651,2550.0,ENTm1
133,s0e85,32.0,630.0,20,0,M20,4154.90699213168,3725.1494173558726,-3150.0,9883.36297027552,4011.342447375651,2550.0,ENTm1
134,s0e86,0.0,645.0,20,0,M20,4156.455125525497,3710.2295218135123,-3150.0,9883.52630931369,3995.4526681068123,2550.0,ENTm1
135,s0e87,32.0,645.0,20,0,M20,4156.455125525497,3710.2295218135123,-3150.0,9883.52630931369,3995.4526681068123,2550.0,ENTm1
